"Time","Value"
2024-07-13 15:44:15,136 W
2024-07-13 15:44:30,147 W
2024-07-13 15:44:45,311 W
2024-07-13 15:45:00,222 W
2024-07-13 15:45:15,244 W
2024-07-13 15:45:30,283 W
2024-07-13 15:45:45,252 W
2024-07-13 15:46:00,281 W
2024-07-13 15:46:15,178 W
2024-07-13 15:46:30,256 W
2024-07-13 15:46:45,258 W
2024-07-13 15:47:00,251 W
2024-07-13 15:47:15,200 W
2024-07-13 15:47:30,221 W
2024-07-13 15:47:45,242 W
2024-07-13 15:48:00,207 W
2024-07-13 15:48:15,174 W
2024-07-13 15:48:30,257 W
2024-07-13 15:48:45,194 W
2024-07-13 15:49:00,223 W
2024-07-13 15:49:15,225 W
2024-07-13 15:49:30,277 W
2024-07-13 15:49:45,235 W
2024-07-13 15:50:00,214 W
2024-07-13 15:50:15,213 W
2024-07-13 15:50:30,192 W
2024-07-13 15:50:45,236 W
2024-07-13 15:51:00,236 W
2024-07-13 15:51:15,238 W
2024-07-13 15:51:30,165 W
2024-07-13 15:51:45,271 W
2024-07-13 15:52:00,242 W
2024-07-13 15:52:15,171 W
2024-07-13 15:52:30,131 W
2024-07-13 15:52:45,141 W
2024-07-13 15:53:00,140 W
2024-07-13 15:53:15,133 W
2024-07-13 15:53:30,129 W
2024-07-13 15:53:45,130 W
2024-07-13 15:54:00,130 W
2024-07-13 15:54:15,168 W
2024-07-13 15:54:30,207 W
2024-07-13 15:54:45,191 W
2024-07-13 15:55:00,214 W
2024-07-13 15:55:15,184 W
2024-07-13 15:55:30,207 W
2024-07-13 15:55:45,195 W
2024-07-13 15:56:00,265 W
2024-07-13 15:56:15,226 W
2024-07-13 15:56:30,222 W
2024-07-13 15:56:45,208 W
2024-07-13 15:57:00,232 W
2024-07-13 15:57:15,205 W
2024-07-13 15:57:30,264 W
2024-07-13 15:57:45,266 W
2024-07-13 15:58:00,202 W
2024-07-13 15:58:15,210 W
2024-07-13 15:58:30,175 W
2024-07-13 15:58:45,275 W
2024-07-13 15:59:00,167 W
2024-07-13 15:59:15,197 W
2024-07-13 15:59:30,264 W
2024-07-13 15:59:45,258 W
2024-07-13 16:00:00,264 W
2024-07-13 16:00:15,253 W
2024-07-13 16:00:30,263 W
2024-07-13 16:00:45,178 W
2024-07-13 16:01:00,249 W
2024-07-13 16:01:15,222 W
2024-07-13 16:01:30,268 W
2024-07-13 16:01:45,301 W
2024-07-13 16:02:00,157 W
2024-07-13 16:02:15,170 W
2024-07-13 16:02:30,178 W
2024-07-13 16:02:45,167 W
2024-07-13 16:03:00,166 W
2024-07-13 16:03:15,151 W
2024-07-13 16:03:30,160 W
2024-07-13 16:03:45,302 W
2024-07-13 16:04:00,278 W
2024-07-13 16:04:15,296 W
2024-07-13 16:04:30,269 W
2024-07-13 16:04:45,315 W
2024-07-13 16:05:00,309 W
2024-07-13 16:05:15,304 W
2024-07-13 16:05:30,312 W
2024-07-13 16:05:45,315 W
2024-07-13 16:06:00,341 W
2024-07-13 16:06:15,367 W
2024-07-13 16:06:30,328 W
2024-07-13 16:06:45,354 W
2024-07-13 16:07:00,339 W
2024-07-13 16:07:15,318 W
2024-07-13 16:07:30,332 W
2024-07-13 16:07:45,309 W
2024-07-13 16:08:00,329 W
2024-07-13 16:08:15,196 W
2024-07-13 16:08:30,314 W
2024-07-13 16:08:45,296 W
2024-07-13 16:09:00,338 W
2024-07-13 16:09:15,320 W
2024-07-13 16:09:30,327 W
2024-07-13 16:09:45,296 W
2024-07-13 16:10:00,295 W
2024-07-13 16:10:15,304 W
2024-07-13 16:10:30,317 W
2024-07-13 16:10:45,198 W
2024-07-13 16:11:00,257 W
2024-07-13 16:11:15,306 W
2024-07-13 16:11:30,190 W
2024-07-13 16:11:45,166 W
2024-07-13 16:12:00,172 W
2024-07-13 16:12:15,207 W
2024-07-13 16:12:30,212 W
2024-07-13 16:12:45,282 W
2024-07-13 16:13:00,296 W
2024-07-13 16:13:15,281 W
2024-07-13 16:13:30,294 W
2024-07-13 16:13:45,286 W
2024-07-13 16:14:00,279 W
2024-07-13 16:14:15,303 W
2024-07-13 16:14:30,296 W
2024-07-13 16:14:45,306 W
2024-07-13 16:15:00,218 W
2024-07-13 16:15:15,191 W
2024-07-13 16:15:30,195 W
2024-07-13 16:15:45,335 W
2024-07-13 16:16:00,268 W
2024-07-13 16:16:15,296 W
2024-07-13 16:16:30,299 W
2024-07-13 16:16:45,291 W
2024-07-13 16:17:00,173 W
2024-07-13 16:17:15,302 W
2024-07-13 16:17:30,336 W
2024-07-13 16:17:45,279 W
2024-07-13 16:18:00,329 W
2024-07-13 16:18:15,299 W
2024-07-13 16:18:30,291 W
2024-07-13 16:18:45,292 W
2024-07-13 16:19:00,242 W
2024-07-13 16:19:15,158 W
2024-07-13 16:19:30,208 W
2024-07-13 16:19:45,170 W
2024-07-13 16:20:00,286 W
2024-07-13 16:20:15,261 W
2024-07-13 16:20:30,326 W
2024-07-13 16:20:45,293 W
2024-07-13 16:21:00,318 W
2024-07-13 16:21:15,266 W
2024-07-13 16:21:30,296 W
2024-07-13 16:21:45,283 W
2024-07-13 16:22:00,288 W
2024-07-13 16:22:15,307 W
2024-07-13 16:22:30,299 W
2024-07-13 16:22:45,200 W
2024-07-13 16:23:00,210 W
2024-07-13 16:23:15,172 W
2024-07-13 16:23:30,180 W
2024-07-13 16:23:45,290 W
2024-07-13 16:24:00,289 W
2024-07-13 16:24:15,326 W
2024-07-13 16:24:30,332 W
2024-07-13 16:24:45,273 W
2024-07-13 16:25:00,318 W
2024-07-13 16:25:15,270 W
2024-07-13 16:25:30,181 W
2024-07-13 16:25:45,171 W
2024-07-13 16:26:00,200 W
2024-07-13 16:26:15,187 W
2024-07-13 16:26:30,142 W
2024-07-13 16:26:45,210 W
2024-07-13 16:27:00,192 W
2024-07-13 16:27:15,154 W
2024-07-13 16:27:30,167 W
2024-07-13 16:27:45,146 W
2024-07-13 16:28:00,169 W
2024-07-13 16:28:15,151 W
2024-07-13 16:28:30,148 W
2024-07-13 16:28:45,184 W
2024-07-13 16:29:00,196 W
2024-07-13 16:29:15,162 W
2024-07-13 16:29:30,173 W
2024-07-13 16:29:45,158 W
2024-07-13 16:30:00,156 W
2024-07-13 16:30:15,217 W
2024-07-13 16:30:30,165 W
2024-07-13 16:30:45,154 W
2024-07-13 16:31:00,296 W
2024-07-13 16:31:15,290 W
2024-07-13 16:31:30,257 W
2024-07-13 16:31:45,262 W
2024-07-13 16:32:00,292 W
2024-07-13 16:32:15,279 W
2024-07-13 16:32:30,239 W
2024-07-13 16:32:45,277 W
2024-07-13 16:33:00,215 W
2024-07-13 16:33:15,186 W
2024-07-13 16:33:30,150 W
2024-07-13 16:33:45,200 W
2024-07-13 16:34:00,153 W
2024-07-13 16:34:15,309 W
2024-07-13 16:34:30,279 W
2024-07-13 16:34:45,235 W
2024-07-13 16:35:00,250 W
2024-07-13 16:35:15,232 W
2024-07-13 16:35:30,133 W
2024-07-13 16:35:45,284 W
2024-07-13 16:36:00,261 W
2024-07-13 16:36:15,149 W
2024-07-13 16:36:30,232 W
2024-07-13 16:36:45,276 W
2024-07-13 16:37:00,337 W
2024-07-13 16:37:15,291 W
2024-07-13 16:37:30,304 W
2024-07-13 16:37:45,317 W
2024-07-13 16:38:00,312 W
2024-07-13 16:38:15,324 W
2024-07-13 16:38:30,304 W
2024-07-13 16:38:45,325 W
2024-07-13 16:39:00,304 W
2024-07-13 16:39:15,214 W
2024-07-13 16:39:30,265 W
2024-07-13 16:39:45,277 W
2024-07-13 16:40:00,220 W
2024-07-13 16:40:15,159 W
2024-07-13 16:40:30,174 W
2024-07-13 16:40:45,276 W
2024-07-13 16:41:00,341 W
2024-07-13 16:41:15,288 W
2024-07-13 16:41:30,329 W
2024-07-13 16:41:45,304 W
2024-07-13 16:42:00,321 W
2024-07-13 16:42:15,302 W
2024-07-13 16:42:30,329 W
2024-07-13 16:42:45,273 W
2024-07-13 16:43:00,326 W
2024-07-13 16:43:15,265 W
2024-07-13 16:43:30,299 W
2024-07-13 16:43:45,277 W
2024-07-13 16:44:00,305 W
2024-07-13 16:44:15,304 W
2024-07-13 16:44:30,327 W
2024-07-13 16:44:45,283 W
2024-07-13 16:45:00,281 W
2024-07-13 16:45:15,152 W
2024-07-13 16:45:30,172 W
2024-07-13 16:45:45,149 W
2024-07-13 16:46:00,281 W
2024-07-13 16:46:15,279 W
2024-07-13 16:46:30,296 W
2024-07-13 16:46:45,157 W
2024-07-13 16:47:00,154 W
2024-07-13 16:47:15,194 W
2024-07-13 16:47:30,257 W
2024-07-13 16:47:45,327 W
2024-07-13 16:48:00,339 W
2024-07-13 16:48:15,298 W
2024-07-13 16:48:30,293 W
2024-07-13 16:48:45,277 W
2024-07-13 16:49:00,313 W
2024-07-13 16:49:15,169 W
2024-07-13 16:49:30,301 W
2024-07-13 16:49:45,321 W
2024-07-13 16:50:00,208 W
2024-07-13 16:50:15,131 W
2024-07-13 16:50:30,314 W
2024-07-13 16:50:45,257 W
2024-07-13 16:51:00,279 W
2024-07-13 16:51:15,311 W
2024-07-13 16:51:30,295 W
2024-07-13 16:51:45,284 W
2024-07-13 16:52:00,294 W
2024-07-13 16:52:15,266 W
2024-07-13 16:52:30,285 W
2024-07-13 16:52:45,318 W
2024-07-13 16:53:00,260 W
2024-07-13 16:53:15,318 W
2024-07-13 16:53:30,301 W
2024-07-13 16:53:45,299 W
2024-07-13 16:54:00,313 W
2024-07-13 16:54:15,295 W
2024-07-13 16:54:30,183 W
2024-07-13 16:54:45,173 W
2024-07-13 16:55:00,176 W
2024-07-13 16:55:15,125 W
2024-07-13 16:55:30,266 W
2024-07-13 16:55:45,289 W
2024-07-13 16:56:00,284 W
2024-07-13 16:56:15,296 W
2024-07-13 16:56:30,271 W
2024-07-13 16:56:45,282 W
2024-07-13 16:57:00,287 W
2024-07-13 16:57:15,244 W
2024-07-13 16:57:30,291 W
2024-07-13 16:57:45,283 W
2024-07-13 16:58:00,209 W
2024-07-13 16:58:15,171 W
2024-07-13 16:58:30,150 W
2024-07-13 16:58:45,177 W
2024-07-13 16:59:00,252 W
2024-07-13 16:59:15,354 W
2024-07-13 16:59:30,297 W
2024-07-13 16:59:45,378 W
