"Time","Value"
2024-08-05 12:17:15,145 W
2024-08-05 12:17:20,144 W
2024-08-05 12:17:25,144 W
2024-08-05 12:17:30,139 W
2024-08-05 12:17:35,158 W
2024-08-05 12:17:40,168 W
2024-08-05 12:17:45,148 W
2024-08-05 12:17:50,191 W
2024-08-05 12:17:55,157 W
2024-08-05 12:18:00,191 W
2024-08-05 12:18:05,158 W
2024-08-05 12:18:10,207 W
2024-08-05 12:18:15,168 W
2024-08-05 12:18:20,159 W
2024-08-05 12:18:25,179 W
2024-08-05 12:18:30,135 W
2024-08-05 12:18:35,161 W
2024-08-05 12:18:40,142 W
2024-08-05 12:18:45,183 W
2024-08-05 12:18:50,139 W
2024-08-05 12:18:55,147 W
2024-08-05 12:19:00,147 W
2024-08-05 12:19:05,156 W
2024-08-05 12:19:10,149 W
2024-08-05 12:19:15,153 W
2024-08-05 12:19:20,153 W
2024-08-05 12:19:25,149 W
2024-08-05 12:19:30,178 W
2024-08-05 12:19:35,170 W
2024-08-05 12:19:40,199 W
2024-08-05 12:19:45,184 W
2024-08-05 12:19:50,168 W
2024-08-05 12:19:55,216 W
2024-08-05 12:20:00,184 W
2024-08-05 12:20:05,164 W
2024-08-05 12:20:10,138 W
2024-08-05 12:20:15,158 W
2024-08-05 12:20:20,179 W
2024-08-05 12:20:25,161 W
2024-08-05 12:20:30,161 W
2024-08-05 12:20:35,161 W
2024-08-05 12:20:40,177 W
2024-08-05 12:20:45,189 W
2024-08-05 12:20:50,241 W
2024-08-05 12:20:55,194 W
2024-08-05 12:21:00,198 W
2024-08-05 12:21:05,162 W
2024-08-05 12:21:10,147 W
2024-08-05 12:21:15,162 W
2024-08-05 12:21:20,154 W
2024-08-05 12:21:25,163 W
2024-08-05 12:21:30,161 W
2024-08-05 12:21:35,186 W
2024-08-05 12:21:40,202 W
2024-08-05 12:21:45,217 W
2024-08-05 12:21:50,151 W
2024-08-05 12:21:55,199 W
2024-08-05 12:22:00,204 W
2024-08-05 12:22:05,213 W
2024-08-05 12:22:10,182 W
2024-08-05 12:22:15,167 W
2024-08-05 12:22:20,206 W
2024-08-05 12:22:25,200 W
2024-08-05 12:22:30,140 W
2024-08-05 12:22:35,206 W
2024-08-05 12:22:40,210 W
2024-08-05 12:22:45,144 W
2024-08-05 12:22:50,144 W
2024-08-05 12:22:55,170 W
2024-08-05 12:23:00,150 W
2024-08-05 12:23:05,167 W
2024-08-05 12:23:10,192 W
2024-08-05 12:23:15,181 W
2024-08-05 12:23:20,171 W
2024-08-05 12:23:25,165 W
2024-08-05 12:23:30,160 W
2024-08-05 12:23:35,219 W
2024-08-05 12:23:40,211 W
2024-08-05 12:23:45,190 W
2024-08-05 12:23:50,161 W
2024-08-05 12:23:55,164 W
2024-08-05 12:24:00,248 W
2024-08-05 12:24:05,145 W
2024-08-05 12:24:10,179 W
2024-08-05 12:24:15,155 W
2024-08-05 12:24:20,170 W
2024-08-05 12:24:25,193 W
2024-08-05 12:24:30,157 W
2024-08-05 12:24:35,159 W
2024-08-05 12:24:40,222 W
2024-08-05 12:24:45,178 W
2024-08-05 12:24:50,199 W
2024-08-05 12:24:55,157 W
2024-08-05 12:25:00,145 W
2024-08-05 12:25:05,147 W
2024-08-05 12:25:10,200 W
2024-08-05 12:25:15,164 W
2024-08-05 12:25:20,196 W
2024-08-05 12:25:25,176 W
2024-08-05 12:25:30,182 W
2024-08-05 12:25:35,183 W
2024-08-05 12:25:40,164 W
2024-08-05 12:25:45,181 W
2024-08-05 12:25:50,159 W
2024-08-05 12:25:55,176 W
2024-08-05 12:26:00,193 W
2024-08-05 12:26:05,226 W
2024-08-05 12:26:10,170 W
2024-08-05 12:26:15,175 W
2024-08-05 12:26:20,143 W
2024-08-05 12:26:25,163 W
2024-08-05 12:26:30,161 W
2024-08-05 12:26:35,197 W
2024-08-05 12:26:40,220 W
2024-08-05 12:26:45,187 W
2024-08-05 12:26:50,142 W
2024-08-05 12:26:55,171 W
2024-08-05 12:27:00,196 W
2024-08-05 12:27:05,204 W
2024-08-05 12:27:10,139 W
2024-08-05 12:27:15,155 W
2024-08-05 12:27:20,154 W
2024-08-05 12:27:25,153 W
2024-08-05 12:27:30,200 W
2024-08-05 12:27:35,166 W
2024-08-05 12:27:40,165 W
2024-08-05 12:27:45,190 W
2024-08-05 12:27:50,166 W
2024-08-05 12:27:55,163 W
2024-08-05 12:28:00,193 W
2024-08-05 12:28:05,182 W
2024-08-05 12:28:10,188 W
2024-08-05 12:28:15,182 W
2024-08-05 12:28:20,164 W
2024-08-05 12:28:25,169 W
2024-08-05 12:28:30,186 W
2024-08-05 12:28:35,183 W
2024-08-05 12:28:40,173 W
2024-08-05 12:28:45,161 W
2024-08-05 12:28:50,173 W
2024-08-05 12:28:55,147 W
2024-08-05 12:29:00,243 W
2024-08-05 12:29:05,151 W
2024-08-05 12:29:10,179 W
2024-08-05 12:29:15,217 W
2024-08-05 12:29:20,150 W
2024-08-05 12:29:25,149 W
2024-08-05 12:29:30,176 W
2024-08-05 12:29:35,141 W
2024-08-05 12:29:40,181 W
2024-08-05 12:29:45,189 W
2024-08-05 12:29:50,178 W
2024-08-05 12:29:55,149 W
2024-08-05 12:30:00,206 W
2024-08-05 12:30:05,184 W
2024-08-05 12:30:10,192 W
2024-08-05 12:30:15,163 W
2024-08-05 12:30:20,169 W
2024-08-05 12:30:25,196 W
2024-08-05 12:30:30,208 W
2024-08-05 12:30:35,178 W
2024-08-05 12:30:40,153 W
2024-08-05 12:30:45,154 W
2024-08-05 12:30:50,152 W
2024-08-05 12:30:55,172 W
2024-08-05 12:31:00,165 W
2024-08-05 12:31:05,219 W
2024-08-05 12:31:10,202 W
2024-08-05 12:31:15,178 W
2024-08-05 12:31:20,181 W
2024-08-05 12:31:25,216 W
2024-08-05 12:31:30,209 W
2024-08-05 12:31:35,176 W
2024-08-05 12:31:40,183 W
2024-08-05 12:31:45,139 W
2024-08-05 12:31:50,150 W
2024-08-05 12:31:55,163 W
2024-08-05 12:32:00,174 W
2024-08-05 12:32:05,192 W
2024-08-05 12:32:10,158 W
2024-08-05 12:32:15,190 W
2024-08-05 12:32:20,175 W
2024-08-05 12:32:25,162 W
2024-08-05 12:32:30,201 W
2024-08-05 12:32:35,245 W
2024-08-05 12:32:40,198 W
2024-08-05 12:32:45,163 W
2024-08-05 12:32:50,193 W
2024-08-05 12:32:55,172 W
2024-08-05 12:33:00,240 W
2024-08-05 12:33:05,193 W
2024-08-05 12:33:10,201 W
2024-08-05 12:33:15,183 W
2024-08-05 12:33:20,153 W
2024-08-05 12:33:25,208 W
2024-08-05 12:33:30,180 W
2024-08-05 12:33:35,269 W
2024-08-05 12:33:40,195 W
2024-08-05 12:33:45,187 W
2024-08-05 12:33:50,151 W
2024-08-05 12:33:55,184 W
2024-08-05 12:34:00,204 W
2024-08-05 12:34:05,177 W
2024-08-05 12:34:10,196 W
2024-08-05 12:34:15,193 W
2024-08-05 12:34:20,182 W
2024-08-05 12:34:25,151 W
2024-08-05 12:34:30,159 W
2024-08-05 12:34:35,213 W
2024-08-05 12:34:40,196 W
2024-08-05 12:34:45,200 W
2024-08-05 12:34:50,175 W
2024-08-05 12:34:55,157 W
2024-08-05 12:35:00,177 W
2024-08-05 12:35:05,191 W
2024-08-05 12:35:10,174 W
2024-08-05 12:35:15,193 W
2024-08-05 12:35:20,178 W
2024-08-05 12:35:25,216 W
2024-08-05 12:35:30,186 W
2024-08-05 12:35:35,212 W
2024-08-05 12:35:40,180 W
2024-08-05 12:35:45,183 W
2024-08-05 12:35:50,184 W
2024-08-05 12:35:55,191 W
2024-08-05 12:36:00,194 W
2024-08-05 12:36:05,179 W
2024-08-05 12:36:10,170 W
2024-08-05 12:36:15,155 W
2024-08-05 12:36:20,146 W
2024-08-05 12:36:25,155 W
2024-08-05 12:36:30,146 W
2024-08-05 12:36:35,206 W
2024-08-05 12:36:40,168 W
2024-08-05 12:36:45,204 W
2024-08-05 12:36:50,144 W
2024-08-05 12:36:55,152 W
2024-08-05 12:37:00,176 W
2024-08-05 12:37:05,184 W
2024-08-05 12:37:10,199 W
2024-08-05 12:37:15,206 W
2024-08-05 12:37:20,161 W
2024-08-05 12:37:25,170 W
2024-08-05 12:37:30,186 W
2024-08-05 12:37:35,211 W
2024-08-05 12:37:40,181 W
2024-08-05 12:37:45,174 W
2024-08-05 12:37:50,201 W
2024-08-05 12:37:55,251 W
2024-08-05 12:38:00,185 W
2024-08-05 12:38:05,196 W
2024-08-05 12:38:10,213 W
2024-08-05 12:38:15,193 W
2024-08-05 12:38:20,155 W
2024-08-05 12:38:25,223 W
2024-08-05 12:38:30,192 W
2024-08-05 12:38:35,273 W
2024-08-05 12:38:40,220 W
2024-08-05 12:38:45,198 W
2024-08-05 12:38:50,181 W
2024-08-05 12:38:55,203 W
2024-08-05 12:39:00,278 W
2024-08-05 12:39:05,190 W
2024-08-05 12:39:10,231 W
2024-08-05 12:39:15,171 W
2024-08-05 12:39:20,176 W
2024-08-05 12:39:25,203 W
2024-08-05 12:39:30,199 W
2024-08-05 12:39:35,202 W
2024-08-05 12:39:40,262 W
2024-08-05 12:39:45,194 W
2024-08-05 12:39:50,178 W
2024-08-05 12:39:55,229 W
2024-08-05 12:40:00,235 W
2024-08-05 12:40:05,201 W
2024-08-05 12:40:10,235 W
2024-08-05 12:40:15,176 W
2024-08-05 12:40:20,192 W
2024-08-05 12:40:25,180 W
2024-08-05 12:40:30,262 W
2024-08-05 12:40:35,246 W
2024-08-05 12:40:40,200 W
2024-08-05 12:40:45,213 W
2024-08-05 12:40:50,209 W
2024-08-05 12:40:55,251 W
2024-08-05 12:41:00,282 W
2024-08-05 12:41:05,178 W
2024-08-05 12:41:10,226 W
2024-08-05 12:41:15,187 W
2024-08-05 12:41:20,191 W
2024-08-05 12:41:25,166 W
2024-08-05 12:41:30,246 W
2024-08-05 12:41:35,241 W
2024-08-05 12:41:40,254 W
2024-08-05 12:41:45,166 W
2024-08-05 12:41:50,209 W
2024-08-05 12:41:55,182 W
2024-08-05 12:42:00,210 W
2024-08-05 12:42:05,169 W
2024-08-05 12:42:10,229 W
2024-08-05 12:42:15,212 W
2024-08-05 12:42:20,179 W
2024-08-05 12:42:25,189 W
2024-08-05 12:42:30,224 W
2024-08-05 12:42:35,226 W
2024-08-05 12:42:40,198 W
2024-08-05 12:42:45,224 W
2024-08-05 12:42:50,205 W
2024-08-05 12:42:55,250 W
2024-08-05 12:43:00,204 W
2024-08-05 12:43:05,167 W
2024-08-05 12:43:10,197 W
2024-08-05 12:43:15,138 W
2024-08-05 12:43:20,199 W
2024-08-05 12:43:25,163 W
2024-08-05 12:43:30,216 W
2024-08-05 12:43:35,237 W
2024-08-05 12:43:40,175 W
2024-08-05 12:43:45,237 W
2024-08-05 12:43:50,184 W
2024-08-05 12:43:55,213 W
2024-08-05 12:44:00,288 W
2024-08-05 12:44:05,207 W
2024-08-05 12:44:10,192 W
2024-08-05 12:44:15,153 W
2024-08-05 12:44:20,219 W
2024-08-05 12:44:25,200 W
